plant,district,date,year,month,pipe_bursts,elevated,elevated_next,predicted,split
PADANG PIOL,JERANTUT,2024-12-01,2024,12,2,1,0,0.5565550271517301,train
PADANG PIOL,JERANTUT,2025-01-01,2025,1,1,0,1,0.731727815110988,train
PADANG PIOL,JERANTUT,2025-02-01,2025,2,2,1,0,0.5025090145726994,train
PADANG PIOL,JERANTUT,2025-03-01,2025,3,1,0,1,0.7534332775011676,train
PADANG PIOL,JERANTUT,2025-04-01,2025,4,3,1,1,0.6452741971891048,train
PADANG PIOL,JERANTUT,2025-05-01,2025,5,2,1,1,0.6995234573480622,train
PADANG PIOL,JERANTUT,2025-06-01,2025,6,3,1,0,0.6327053323075712,test
PADANG PIOL,JERANTUT,2025-07-01,2025,7,1,0,1,0.7269072375675638,test
PADANG PIOL,JERANTUT,2025-08-01,2025,8,3,1,0,0.5833397921908033,test
PADANG PIOL,JERANTUT,2025-09-01,2025,9,1,0,0,0.6913945958705269,test
PADANG PIOL,JERANTUT,2025-10-01,2025,10,1,0,0,0.7041124038789293,test
PADANG PIOL,JERANTUT,2025-11-01,2025,11,1,0,1,0.6420660815886967,test
PANCHING,KUANTAN,2023-01-01,2023,1,12,1,1,0.9904095022624433,train
PANCHING,KUANTAN,2023-02-01,2023,2,10,1,1,1.0,train
PANCHING,KUANTAN,2023-03-01,2023,3,4,1,1,0.99164493605523,train
PANCHING,KUANTAN,2023-04-01,2023,4,6,1,1,0.9959122807017544,train
PANCHING,KUANTAN,2023-05-01,2023,5,11,1,1,1.0,train
PANCHING,KUANTAN,2023-06-01,2023,6,8,1,1,1.0,train
PANCHING,KUANTAN,2023-07-01,2023,7,6,1,1,0.9952358387799565,train
PANCHING,KUANTAN,2023-08-01,2023,8,8,1,1,0.9993668831168832,train
PANCHING,KUANTAN,2023-09-01,2023,9,10,1,1,1.0,train
PANCHING,KUANTAN,2023-10-01,2023,10,4,1,1,0.9918736454177628,train
PANCHING,KUANTAN,2023-11-01,2023,11,11,1,1,0.9992307692307691,train
PANCHING,KUANTAN,2023-12-01,2023,12,8,1,1,1.0,train
PANCHING,KUANTAN,2024-01-01,2024,1,11,1,1,0.9995454545454545,train
PANCHING,KUANTAN,2024-02-01,2024,2,9,1,1,1.0,train
PANCHING,KUANTAN,2024-03-01,2024,3,7,1,1,1.0,train
PANCHING,KUANTAN,2024-04-01,2024,4,4,1,1,0.998686873433584,train
PANCHING,KUANTAN,2024-05-01,2024,5,9,1,1,0.9998684210526316,train
PANCHING,KUANTAN,2024-06-01,2024,6,8,1,1,0.9996875,train
PANCHING,KUANTAN,2024-07-01,2024,7,5,1,1,0.9934346122287299,train
PANCHING,KUANTAN,2024-08-01,2024,8,7,1,1,0.9992353041695148,train
PANCHING,KUANTAN,2024-09-01,2024,9,7,1,1,0.9988536025378133,train
PANCHING,KUANTAN,2024-10-01,2024,10,8,1,1,0.9998214285714286,train
PANCHING,KUANTAN,2024-11-01,2024,11,5,1,1,0.99235776773866,train
PANCHING,KUANTAN,2024-12-01,2024,12,12,1,1,0.9998214285714286,train
PANCHING,KUANTAN,2025-01-01,2025,1,7,1,1,1.0,train
PANCHING,KUANTAN,2025-02-01,2025,2,6,1,1,0.9947187740593313,train
PANCHING,KUANTAN,2025-03-01,2025,3,8,1,1,0.9996875,train
PANCHING,KUANTAN,2025-04-01,2025,4,8,1,1,1.0,train
PANCHING,KUANTAN,2025-05-01,2025,5,5,1,1,0.9983541666666668,train
PANCHING,KUANTAN,2025-06-01,2025,6,5,1,1,0.9992702692044798,test
PANCHING,KUANTAN,2025-07-01,2025,7,9,1,1,0.9992702692044798,test
PANCHING,KUANTAN,2025-08-01,2025,8,9,1,1,0.9984293831168831,test
PANCHING,KUANTAN,2025-09-01,2025,9,8,1,1,0.9998214285714286,test
PANCHING,KUANTAN,2025-10-01,2025,10,4,1,1,0.9968367114367114,test
PANCHING,KUANTAN,2025-11-01,2025,11,5,1,1,0.9992702692044798,test
PEKAN TAJAU,MARAN,2023-01-01,2023,1,1,0,0,0.34651776047714977,train
PEKAN TAJAU,MARAN,2023-02-01,2023,2,1,0,1,0.40247569181382625,train
PEKAN TAJAU,MARAN,2023-03-01,2023,3,2,1,0,0.3725048480006023,train
PEKAN TAJAU,MARAN,2023-04-01,2023,4,1,0,0,0.34304015112262687,train
PEKAN TAJAU,MARAN,2023-05-01,2023,5,1,0,1,0.4767594129145014,train
PEKAN TAJAU,MARAN,2023-06-01,2023,6,2,1,1,0.5575245756524901,train
PEKAN TAJAU,MARAN,2023-07-01,2023,7,2,1,1,0.49378917639533454,train
PEKAN TAJAU,MARAN,2023-08-01,2023,8,2,1,1,0.6308792655803964,train
PEKAN TAJAU,MARAN,2023-09-01,2023,9,2,1,0,0.3873928811698653,train
PEKAN TAJAU,MARAN,2023-10-01,2023,10,1,0,1,0.5272108009411569,train
PEKAN TAJAU,MARAN,2023-11-01,2023,11,2,1,0,0.31019431158268473,train
PEKAN TAJAU,MARAN,2023-12-01,2023,12,1,0,0,0.2694185909930895,train
PEKAN TAJAU,MARAN,2024-01-01,2024,1,1,0,0,0.24061595354879173,train
PEKAN TAJAU,MARAN,2024-02-01,2024,2,1,0,0,0.2868264059198638,train
PEKAN TAJAU,MARAN,2024-03-01,2024,3,1,0,0,0.2831796730664234,train
PEKAN TAJAU,MARAN,2024-04-01,2024,4,1,0,0,0.31970172087433546,train
PEKAN TAJAU,MARAN,2024-05-01,2024,5,1,0,1,0.4855835026094053,train
PEKAN TAJAU,MARAN,2024-06-01,2024,6,2,1,1,0.45154932320140095,train
PEKAN TAJAU,MARAN,2024-07-01,2024,7,2,1,0,0.3463413989410462,train
PEKAN TAJAU,MARAN,2024-08-01,2024,8,1,0,1,0.5082834912415939,train
PEKAN TAJAU,MARAN,2024-09-01,2024,9,2,1,0,0.34184428029431196,train
PEKAN TAJAU,MARAN,2024-10-01,2024,10,1,0,0,0.2814952148922222,train
PEKAN TAJAU,MARAN,2024-11-01,2024,11,1,0,0,0.2868027874716913,train
PEKAN TAJAU,MARAN,2024-12-01,2024,12,1,0,0,0.2102301837747431,train
PEKAN TAJAU,MARAN,2025-01-01,2025,1,1,0,1,0.34387761916575704,train
PEKAN TAJAU,MARAN,2025-02-01,2025,2,2,1,0,0.26420719435563594,train
PEKAN TAJAU,MARAN,2025-03-01,2025,3,1,0,0,0.2923673249579953,train
PEKAN TAJAU,MARAN,2025-04-01,2025,4,1,0,0,0.30250170333617005,train
PEKAN TAJAU,MARAN,2025-05-01,2025,5,1,0,1,0.43246285184070216,train
PEKAN TAJAU,MARAN,2025-06-01,2025,6,2,1,1,0.32785337038466816,test
PEKAN TAJAU,MARAN,2025-07-01,2025,7,2,1,0,0.48961688355983063,test
PEKAN TAJAU,MARAN,2025-08-01,2025,8,1,0,0,0.3658525387500173,test
PEKAN TAJAU,MARAN,2025-09-01,2025,9,1,0,0,0.35879691866084307,test
PEKAN TAJAU,MARAN,2025-10-01,2025,10,1,0,0,0.2931521428463165,test
